San Francisco,San Jose,Sacramento,Oakland,Walnut Creek,Association,Association Pool,BARI,BERD,CCRD,EBRD,MLS,MLSL,SACM,Week or Weekend,# of Rooms_n,# of Units_n,Association Total_n,Bathrooms_n,Bedrooms_n,Selling Date_n,DOM_n,Latitude_n,Longitude_n,On Market Date_n,Days_Between_n,Date of Week_n,Square Footage_n,Selling Price,SP%LP_n,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.000597015,0.067476383,0.5,0.5,0.838356164,0.022413793,0.951110451,0.010964627,0.961538462,0.009529148,0.833333333,1,6495000,0.536798876,0,0,0,0,0,1,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.000298507,0,0.25,1,0.964383562,0.212068966,0.951215296,0.010919633,0.92611336,0.07455157,0.833333333,0.962777667,4610000,0.549983789,0,0,0,0,0,1,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.021791045,0.542813765,0.625,0.5,0.991780822,0,0.950955096,0.011255145,0.998481781,0.003923767,0.166666667,0.872923754,12555000,0.536798876,0,1,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.021791045,0.519635628,0.5,0.375,1,0,0.950955096,0.011255145,1,0.008408072,0.666666667,0.800280168,11340000,0.536798876,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.366666667,0.000895522,0.068016194,0.5,0.75,0.926027397,0.106896552,0.951219776,0.010999022,0.942813765,0.048206278,0.5,0.699419652,4250000,0.506754566,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.233333333,0.003731343,0.531781377,0.375,0.375,0.536986301,0.625862069,0.951128395,0.011180514,0.727226721,0.207399103,0.666666667,0.692215329,4100000,0.472873663,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.035074627,0.345647773,0.375,0.375,0.945205479,0.051724138,0.950819548,0.011363,0.96305668,0.031390135,0.166666667,0.671002602,2995000,0.536798876,0,1,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.007761194,0.402631579,0.5,0.5,0.350684932,0.35862069,0.951007317,0.01124924,0.756072874,0.138452915,0.833333333,0.670802481,4990000,0.670539285,0,0,0,0,0,1,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.000298507,0,0.375,0.375,0.630136986,0.034482759,0.950980062,0.011000929,0.917510121,0.015695067,0.333333333,0.6659996,5550000,0.536798876,0,0,1,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.20840081,0.375,0.25,0.95890411,0.020689655,0.942326852,0.013232383,0.974696356,0.020179372,0.5,0.654992996,8350000,0.44785475,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.136639676,0.5,0.375,0.273972603,0.337931034,0.921416896,0.015007402,0.734817814,0.145179372,0.833333333,0.653191915,2550000,0.456500594,0,0,0,0,0,1,0
0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0.3,0.01119403,0.02854251,0.5,0.375,0.293150685,0.065517241,0.948935081,0.0152967,0.76062753,0.120515695,0,0.647788673,1141810,0.557332757,1,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.266666667,0.000447761,0.059716599,0.375,0.5,0.032876712,0.105172414,0.950587786,0.01097264,0.787449393,0.03867713,0.666666667,0.645387232,2250000,0.513779315,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.143724696,0.5,0.375,0.821917808,0.144827586,0.921412517,0.015006553,0.914473684,0.058295964,0.5,0.640784471,2665000,0.520101589,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.266666667,0.00119403,0.15111336,0.25,0.5,0.156164384,0.213793103,0.951138562,0.011032917,0.780870445,0.07735426,0.833333333,0.626776066,2850000,0.473954393,0,0,0,0,0,1,0
0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.02742915,0.5,0.5,0.747945205,0.074137931,0.938302778,0.015655016,0.921558704,0.035313901,0.5,0.626175705,1397000,0.539987031,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.000298507,0.020242915,0.25,0.625,0.860273973,0.027586207,0.950895954,0.01079614,0.954453441,0.021860987,0.833333333,0.614768861,3250000,0.51680536,0,0,0,0,0,1,0
0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.3,0.008955224,0.043016194,0.5,0.375,0.232876712,0.39137931,0.950794003,0.013202189,0.713562753,0.160313901,0.833333333,0.614168501,1307425,0.50124284,0,0,0,0,0,1,0
0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.3,0.008955224,0.043016194,0.5,0.375,0.747945205,0.270689655,0.950786428,0.01320521,0.847672065,0.122197309,0.666666667,0.614168501,1401370,0.524316438,0,0,0,0,1,0,0
0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.3,0.008955224,0.043016194,0.5,0.375,0.273972603,0.048275862,0.950791612,0.013203239,0.828441296,0.043161435,0.166666667,0.614168501,1351325,0.51837242,0,1,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.233333333,0.003432836,0.36791498,0.375,0.375,0.498630137,0,0.951172839,0.011008199,0.903340081,0.005044843,0.333333333,0.591755053,5560362,0.497622393,0,0,1,0,0,0,0
0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.3,0.008955224,0.043016194,0.5,0.375,0.224657534,0.175862069,0.950794884,0.013201817,0.769736842,0.09809417,0.666666667,0.58395037,1130000,0.492705069,0,0,0,0,1,0,0
0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.3,0.008955224,0.043016194,0.5,0.375,0.408219178,0.043103448,0.950784415,0.013205702,0.822874494,0.079596413,0.666666667,0.58395037,1351000,0.507403004,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.233333333,0.000298507,0,0.375,0.375,0.15890411,0.036206897,0.950660518,0.011063031,0.826923077,0.019618834,0.833333333,0.560736442,3200000,0.573759862,0,0,0,0,0,1,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.018955224,0.1,0.25,0.25,0.224657534,0.256896552,0.950898169,0.011326634,0.762145749,0.105381166,0.5,0.551731039,4850000,0.521128283,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.099392713,0.375,0.375,0.745205479,0.055172414,0.943837088,0.012357031,0.918522267,0.038116592,0.666666667,0.551731039,1580000,0.53004431,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.266666667,0.000298507,0.03340081,0.5,0.5,0.131506849,0,0.949631321,0.011027593,0.839068826,0.002802691,0.166666667,0.551530919,1700000,0.508213552,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.4,0.000298507,0,0.375,0.5,0.421917808,0,0.951261074,0.010925554,0.893218623,0.018497758,0.5,0.536121673,4500000,0.536798876,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.233333333,0.000298507,0.048582996,0.375,0.5,0.536986301,0.20862069,0.950464418,0.010952922,0.840587045,0.082959641,0.666666667,0.535721433,2450000,0.527072301,0,0,0,0,1,0,0
0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.266666667,0.008955224,0.043016194,0.375,0.5,0.254794521,0.153448276,0.950790832,0.013203546,0.7798583,0.092488789,0.5,0.532319392,1071690,0.523127634,0,0,0,1,0,0,0
0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.266666667,0.008955224,0.043016194,0.375,0.5,0.646575342,0.239655172,0.950782401,0.013206195,0.835526316,0.111547085,0.166666667,0.532319392,1185645,0.565870528,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.266666667,0.008955224,0.043016194,0.375,0.5,0.424657534,0.062068966,0.950785371,0.013205452,0.825404858,0.076793722,0.333333333,0.532319392,1264305,0.51059116,0,0,1,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.007910448,0.123178138,0.25,0.375,0.501369863,0.125862069,0.951013181,0.011335883,0.869433198,0.042600897,0.833333333,0.522913748,3500000,0.482005836,0,0,0,0,0,1,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.166666667,0.062537313,0.297874494,0.375,0.25,0.791780822,0.181034483,0.951063867,0.011306981,0.906882591,0.061098655,0.333333333,0.515509306,4300000,0.490921863,0,0,1,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.062238806,0.297874494,0.375,0.25,0.632876712,0,0.951063867,0.011306981,0.932186235,0,0.5,0.515509306,4900000,0.536798876,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.266666667,0.000298507,0.030364372,0.375,0.375,0.693150685,0,0.951238802,0.010963771,0.943319838,0.000560538,0.666666667,0.511506904,3650000,0.536798876,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.333333333,0.000447761,0.045546559,0.375,0.5,0.915068493,0.096551724,0.950323308,0.011139043,0.938765182,0.051569507,0.333333333,0.509705823,1875000,0.559602291,0,0,1,0,0,0,0
0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0.233333333,0.008955224,0.044433198,0.5,0.5,0.77260274,0.017241379,0.949050093,0.015598132,0.939777328,0.02073991,0.666666667,0.509105463,1056000,0.540419323,0,0,0,0,1,0,0
0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0.366666667,0.008955224,0.044736842,0.5,0.5,0.978082192,0.00862069,0.94902543,0.015604045,0.976214575,0.022421525,1,0.509105463,960000,0.542526748,0,0,0,0,0,0,1
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.060222672,0.5,0.375,0.961643836,0.086206897,0.953420111,0.010401038,0.96305668,0.033071749,0.166666667,0.508705223,2950000,0.48692316,0,1,0,0,0,0,0
0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0.3,0.005373134,0.052327935,0.375,0.375,0.21369863,0.156896552,0,1,0.633097166,0.272982063,0,0.507704623,1257428,0.473251918,1,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.000597015,0.132186235,0.375,0.5,0.284931507,0.210344828,0.951290066,0.011233763,0.787955466,0.094170404,0.833333333,0.504902942,3325000,0.457149033,0,0,0,0,0,1,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.233333333,0.000895522,0.042105263,0.25,0.5,0.517808219,0.172413793,0.95103344,0.010861958,0.841093117,0.07735426,0.833333333,0.503902341,3175000,0.487301416,0,0,0,0,0,1,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.233333333,0.000298507,0.045546559,0.375,0.5,0.62739726,0.015517241,0.951098446,0.010934125,0.914473684,0.021300448,0.5,0.503902341,3150000,0.497784502,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.000597015,0.065789474,0.5,0.5,0.808219178,0.10862069,0.951067139,0.011047336,0.925607287,0.043721973,0.666666667,0.502901741,3500000,0.514589863,0,0,0,0,1,0,0
0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.166666667,0,0.045951417,0.375,0.5,0.610958904,0.022413793,0.951658333,0.012192276,0.907894737,0.022421525,0.666666667,0.501500901,1310000,0.598886848,0,0,0,0,1,0,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.233333333,0,0.002108637,0.375,0.375,0.216438356,0.282758621,0.952456901,0.010611004,0.765182186,0.101457399,0.333333333,0.496698019,2450000,0.527072301,0,0,1,0,0,0,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.07742915,0.375,0.375,0.131506849,0.062068966,0.953329082,0.010771858,0.817307692,0.025224215,0,0.496497899,1850000,0.536798876,1,0,0,0,0,0,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.07742915,0.375,0.375,0.630136986,0.25862069,0.953323999,0.01077315,0.839068826,0.102578475,0.166666667,0.496497899,1837500,0.524586621,0,1,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.266666667,0.000298507,0.070040486,0.25,0.375,0.712328767,0.070689655,0.951064647,0.010883711,0.917510121,0.032511211,0.333333333,0.496097659,3375000,0.518264347,0,0,1,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.233333333,0.000298507,0.04048583,0.375,0.5,0.767123288,0.05862069,0.950453295,0.011018554,0.925607287,0.034753363,0.666666667,0.494696818,3000000,0.536798876,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.266666667,0.000298507,0.049595142,0.375,0.375,0.95890411,0.14137931,0.951079521,0.011032238,0.950404858,0.046524664,0.666666667,0.494096458,2900000,0.519669296,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.3,0.001641791,0.065789474,0.375,0.5,0.178082192,0,0.950542285,0.012211752,0.848178138,0.006165919,0.833333333,0.493896338,1700000,0.570949962,0,0,0,0,0,1,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.133333333,0.062537313,0.295040486,0.375,0.375,0.205479452,0,0.951063867,0.011307005,0.853238866,0,0.166666667,0.492895737,3200000,0.490489571,0,1,0,0,0,0,0
0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.233333333,0.00641791,0.034311741,0.5,0.5,0.591780822,0.027586207,0.949017074,0.015616065,0.903340081,0.024103139,0.333333333,0.492495497,980000,0.531881552,0,0,1,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.233333333,0.000447761,0.036740891,0.25,0.5,0.695890411,0.025862069,0.950887221,0.010810438,0.925607287,0.020179372,0.666666667,0.490694417,2310000,0.517615908,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.03340081,0.25,0.375,0.224657534,0.012068966,0.969103773,0.021967526,0.841093117,0.019618834,0.833333333,0.490494297,759900,0.536798876,0,0,0,0,0,1,0
0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.3,0.009850746,0.04048583,0.375,0.5,0.095890411,0.101724138,0.949058549,0.015576378,0.787955466,0.049887892,0.833333333,0.490294177,910000,0.51680536,0,0,0,0,0,1,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.041492537,0.144534413,0.375,0.5,0.997260274,0.393103448,0.951021738,0.011338654,0.872975709,0.141255605,0.833333333,0.490094056,4600000,0.494055982,0,0,0,0,0,1,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.000447761,0.03917004,0.375,0.375,0.745205479,0.068965517,0.95093378,0.010942445,0.917004049,0.040919283,0.166666667,0.489293576,2322500,0.499459635,0,1,0,0,0,0,0
